use_case,window,data_size,algorithm,max_date,min_date,x_train_size,y_train_size,x_test_size,y_test_size,time_train,time_test,Mean absolute error,R2 
W120P5.0,120,5.0,Linear Regression,2015/07/31,2015/04/03,5352,5352,1338,1338,0.030847799964249134,0.0030145999044179916,997.8410371787166,0.8560372352985028
W120P5.0,120,5.0,Decision Tree Regressor,2015/07/31,2015/04/03,5352,5352,1338,1338,0.13445760030299425,0.0028504999354481697,1231.4748140794131,0.7838050896373788
W120P5.0,120,5.0,Lasso,2015/07/31,2015/04/03,5352,5352,1338,1338,0.02647990034893155,0.002715399954468012,998.1632154432401,0.8560084141407742
W120P5.0,120,5.0,Random Forest Regressor,2015/07/31,2015/04/03,5352,5352,1338,1338,0.8261151998303831,0.0071252998895943165,918.6137518684603,0.8724180296362702
W120P5.0,120,5.0,Stacking Regressor,2015/07/31,2015/04/03,5352,5352,1338,1338,0.9204796999692917,0.005661800038069487,738.9709228871498,0.91262581448574
W120P1.0,120,1.0,Linear Regression,2015/07/31,2015/04/03,1070,1070,268,268,0.012975700199604034,0.0036327000707387924,977.2500201415597,0.8506412590955823
W120P1.0,120,1.0,Decision Tree Regressor,2015/07/31,2015/04/03,1070,1070,268,268,0.024096500128507614,0.0021887999027967453,1288.9592306325517,0.7540623022184616
W120P1.0,120,1.0,Lasso,2015/07/31,2015/04/03,1070,1070,268,268,0.011266499757766724,0.002257700078189373,976.5296606265321,0.8511128694987746
W120P1.0,120,1.0,Random Forest Regressor,2015/07/31,2015/04/03,1070,1070,268,268,0.13762559974566102,0.004307299852371216,969.814552238806,0.8642990250297145
W120P1.0,120,1.0,Stacking Regressor,2015/07/31,2015/04/03,1070,1070,268,268,0.25128990039229393,0.004827800206840038,809.8330216391025,0.8970891287599304
W180P100.0,180,100.0,Linear Regression,2015/07/31,2015/02/02,160560,160560,40140,40140,1.017365800216794,0.027102000080049038,965.8970227321432,0.8629464740270146
